"type","code","score","sportsmen_count","equipment","description","image"
"power","AHDP25","0.8","2","Кольцо","Верхний спортсмен: Продольный шпагат 180 градусов и более Удержание одноименной ноги Вторая рука не на снаряде  Нижний спортсмен: Вис на подколенке Удержание прямой ноги за щиколотку Без проворота плеч","https://admin.wafed.org/storage/elements/18618/image.webp"
"power","AHDP26","0.8","2","Кольцо","Верхний спортсмен  Вис в прогибе со шпагатом на верхней дуге                        Продольный шпагат 180 градусов и более  Нижний спортсмен  Стопы натянуты  Удержание нижней ноги партнера за щиколотку ","https://admin.wafed.org/storage/elements/18619/image.webp"
"power","AHDP27","0.8","2","Кольцо","Верхний спортсмен: Удержание партнера двумя руками за одну ногу                Вис на пояснице  Нижний спортсмен: Ноги прямые Удержание ноги за щиколотку Проворот плеч Бильман   ","https://admin.wafed.org/storage/elements/18620/image.webp"
"power","SP1","0.2","1","Стропы","Вис на подколенках Прямые руки удерживают ноги за щиколотки Прогиб корпуса Без проворота плеч","https://admin.wafed.org/storage/elements/19611/image.webp"
"power","AHDP28","0.8","2","Кольцо","Оба спорстмена:                                 Без удержания снаряда руками","https://admin.wafed.org/storage/elements/18621/image.webp"
"power","SP2","0.2","1","Стропы","Руки не на снаряде Свободная нога прямая","https://admin.wafed.org/storage/elements/19612/image.webp"
"power","AHDP29","1","2","Кольцо","Верхний спортсмен: Упор в стопы партнера Линия корпуса и ног диагонально полу Руки прямые Ноги прямые  Нижний спортсмен: Упор в плечи партнера Линия корпуса и ног диагонально полу Руки прямые Ноги прямые","https://admin.wafed.org/storage/elements/18622/image.webp"
"power","SP3","0.2","1","Стропы","Руки прямые Удержание снаряда двумя руками Ноги не на снаряде","https://admin.wafed.org/storage/elements/19613/image.webp"
"power","AHDP30","1","2","Кольцо","Верхний спортсмен: Вис на коленных сгибах         Удержание  партнера двумя руками  Нижний спортсмен: Вис на одной  руке                  Вторая рука без удеражния снаряда ил партнёра               ","https://admin.wafed.org/storage/elements/18623/image.webp"
"power","SP4","0.2","1","Стропы","Ноги прямые Ноги параллельно полу Руки прямые","https://admin.wafed.org/storage/elements/19614/image.webp"
"power","AHDP31","1","2","Кольцо","Верхний спортсмен: Зацеп за стропу Ноги согнуты Руки не на снаряде  Нижний спортсмен: Хват за шею партнера Руки согнуты","https://admin.wafed.org/storage/elements/18624/image.webp"
"power","SP5","0.2","1","Стропы","Удержание ноги двумя руками Продольная шпагатная линия менее 180 градусов Ноги прямые","https://admin.wafed.org/storage/elements/19615/image.webp"
"power","AHDP32","1","2","Кольцо","Верхний спортсмен: Без удержания снаряда свободной рукой  Нижний спортсмен: Вис на пятках С упором в партнера Без удержания руками снаряда","https://admin.wafed.org/storage/elements/18625/image.webp"
"power","SP6","0.2","1","Стропы","Руки прямые Ноги прямые Ноги вместе линия корпуса и ног перпендикулярно полу","https://admin.wafed.org/storage/elements/19616/image.webp"
"power","AHDP33","1","2","Кольцо","Верхний спортсмен: Без зацепа за систему подвеса Руки не на снаряде  Нижний спортсмен: Вис на пятках С упором в партнера Вис на нижней дуге кольца Руки не на снаряде ","https://admin.wafed.org/storage/elements/18626/image.webp"
